ID,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID
CBPT1,Plankton tows,1,GC,>250,fibre,red,>5000,yes,,Polyester
CBPT1,Plankton tows,4,NP,>250,fibre,blue,1040.01,yes,,Polypropylene
CBPT1,Plankton tows,5,NP,>250,fibre,clear,1087.32,yes,,Polypropylene
CBPT2,Plankton tows,6,NP,>250,fibre ,clear,630.6,yes,,Plastics Additive
CBPT2,Plankton tows,7,NP,>250,fibre ,clear,866.55,yes,,Cellulose
CBPT2,Plankton tows,8,NP,>250,fibre,clear,921.7,yes,,Cellulose
CBPT2,Plankton tows,9,NP,>250,fibre,clear,667.64,yes,,Cellulose
CBPT3,Plankton tows,#2,NP,>250,fibre,black,597.66,no,dropped,
CBPT4,Plankton tows,NA,NP,>250,NA,NA,NA,NA,,
CBPT5,Plankton tows,12,NP,>250,fibre,blue,1064.99,yes,,Polypropylene
CBPT5,Plankton tows,14,NP,>250,fragment,black,884.46,yes,,Unknown
CBPT5,Plankton tows,#4,NP,>250,fragment,blue,45.21,yes,,
CBPT5,Plankton tows,15,NP,>250,fibre,yellow green,2431.27,yes,,Unknown
CBPTPB1,Blanks,NA,NP,>250,NA,NA,NA,NA,NA,
CBPTPB2,Blanks,NA,NP,>250,NA,NA,NA,NA,NA,
CBPTPB3,Blanks,NA,NP,>250,NA,NA,NA,NA,NA,
EBPT1,Plankton tows,#5,NP,>250,fragment,blue,81.69,no,tiny**,
EBPT1,Plankton tows,#6,NP,>250,fibre,black,319.85,no,dropped,
EBPT1,Plankton tows,#7,NP,>250,fragment,blue,69.86,no,tiny**,
EBPT1,Plankton tows,18,NP,>250,fibre,clear,190.73,yes,,Cellulose
EBPT1,Plankton tows,19,NP,>250,fibre,clear,185.84,yes,,Cellulose
EBPT1,Plankton tows,#8,NP,>250,fragment,blue,92.75,no,tiny**,
EBPT1,Plankton tows,#9,NP,>250,fragment,blue,92.36,no,tiny**,
EBPT1,Plankton tows,#10,NP,>250,fibre,red,1728.04,no,dropped,
EBPT1,Plankton tows,20,NP,>250,fibre,red,708.75,yes,,Polyester
EBPT2,Plankton tows,#11,NP,>250,fibre,clear,83.69,no,tiny**,
EBPT2,Plankton tows,#12,NP,>250,fragment,blue,73.5,no,tiny**,
EBPT2,Plankton tows,#13,NP,>250,fragment,blue,343.15,no,dropped,
EBPT2,Plankton tows,#14,NP,>250,fragment,blue,62.96,no,tiny**,
EBPT2,Plankton tows,21,NP,>250,fibre ,black,661.84,yes,,Cellulose
EBPT2,Plankton tows,22,NP,>250,fragment,blue,768.01,yes,,Dye
EBPT2,Plankton tows,23,NP,>250,fibre,pink,1993.77,yes,,Acrylic
EBPT2,Plankton tows,24,NP,>250,fibre,blue,2188.57,yes,could not find for Raman,
EBPT2,Plankton tows,26,NP,>250,fibre,orange,575.53,yes,,Unknown
EBPT2,Plankton tows,#15,NP,>250,fragment,blue,98.41,no,tiny**,
EBPT2,Plankton tows,#16,NP,>250,fragment,blue,29.1,no,tiny**,
EBPT3,Plankton tows,#17,NP,>250,fibre ,black,101.25,no,"tiny**, dropped",
EBPT3,Plankton tows,#18,NP,>250,fibre ,black,67.51,no,tiny**,
EBPT4,Plankton tows,28,NP,>250,fibre ,clear,561.41,yes,,Cellulose
EBPT4,Plankton tows,29,NP,>250,fibre ,purple,2122.29,yes,,Unknown
EBPT4,Plankton tows,#19,NP,>250,fibre ,black,100.13,no,tiny**,
EBPT4,Plankton tows,30,NP,>250,fibre,blue,449.24,yes,,Unknown
EBPT4,Plankton tows,#20,NP,>250,fibre,blue,90.42,no,tiny**,
EBPTB1,Blanks,NA,NP,>250,NA,NA,NA,NA,NA,
EBPTB2,Blanks,31,NP,>250,fibre,black,175.69,yes,,Cellulose
EBPTB2,Blanks,#21,NP,>250,fragment,blue,45.98,no,tiny**,
EBPTB2,Blanks,32,NP,>250,fibre,blue,227.47,yes,,Unknown
EBPTB2,Blanks,#22,NP,>250,fragment,blue,87.71,no,tiny**,
EBPTB3,Blanks,#23,NP,>250,fragment,blue,43.96,no,tiny**,
EBPTB3,Blanks,#24,NP,>250,fragment,blue,25.43,no,tiny**,
EBPTB3,Blanks,33,NP,>250,fibre,clear,1810.44,yes,,Polyacrylonitrile
EBPTB3,Blanks,#25,NP,>250,fragment,blue,48.96,no,tiny**,
EBPTB3,Blanks,34,NP,>250,fibre,red,158.83,yes,could not find for Raman,
EBPT5,Plankton tows,#26,NP,>250,fibre,black,64.95,no,tiny**,
EBPT5,Plankton tows,35,NP,>250,fibre,blue,408.45,yes,,Unknown
EBPT5,Plankton tows,36,NP,>250,fibre,black,1073.92,yes,,Dye
EBPT5,Plankton tows,37,NP,>250,fibre,black,1021.81,yes,,Cellulose
EBPT5,Plankton tows,38,NP,>250,fibre,clear,224.67,yes,,Cellulose
EBPT5,Plankton tows,#27,NP,>250,fibre,clear,652.88,no,"dropped, bounced",
EBPT5,Plankton tows,39,NP,>250,fibre,pink,685.24,yes,,Cellulose
EBPT5,Plankton tows,40,NP,>250,fibre,black,746.39,yes,,Dye
EBPT5,Plankton tows,41,NP,>250,fragment,orange,2243.61,yes,,Shell
HPPT1,Plankton tows,#28,NP,>250,fragment,blue,28.48,no,tiny**,
HPPT1,Plankton tows,#29,NP,>250,fibre,clear,123.55,no,dropped,
HPPT1,Plankton tows,42,NP,>250,fibre,clear,143.19,yes,,Cellulose
HPPT1,Plankton tows,#30,NP,>250,fragment,blue,85.68,no,tiny**,
HPPT1,Plankton tows,43,NP,>250,fibre,blue,1570.72,yes,,Cellulose
HPPT1,Plankton tows,44,NP,>250,fibre,blue,110.51,yes,,Dye
HPPT2,Plankton tows,45,NP,>250,fibre,red,1444.52,yes,,Polyester
HPPT2,Plankton tows,#31,NP,>250,fragment,blue,22.14,no,tiny**,
HPPT2,Plankton tows,46,NP,>250,fibre,blue,507.77,yes,,Unknown
HPPT2,Plankton tows,#32,NP,>250,fragment,blue,21.49,no,tiny**,
HPPT2,Plankton tows,48,NP,>250,fragment,blue,137.53,yes,,Dye
HPPT2,Plankton tows,#33,NP,>250,fragment,blue,70.07,no,tiny**,
HPPT2,Plankton tows,#34,NP,>250,fragment,blue,84.93,no,tiny**,
HPPT2,Plankton tows,49,NP,>250,fibre,brown,641.03,yes,,Unknown
HPPT2,Plankton tows,#35,NP,>250,fragment,blue,39.23,no,tiny**,
HPPT2,Plankton tows,#36,NP,>250,fragment,blue,34.64,no,tiny**,
HPPT2,Plankton tows,50,NP,>250,fragment,blue,147.49,yes,Could not find for Raman,
HPPT2,Plankton tows,#37,NP,>250,fragment,blue,22.49,no,tiny**,
HPPT2,Plankton tows,#38,NP,>250,fragment,blue,45.33,no,tiny**,
HPPT2,Plankton tows,51,NP,>250,fragment,blue,217.6,yes,,Dye
HPPT2,Plankton tows,#39,NP,>250,fragment,blue,95.37,no,tiny**,
HPPT2,Plankton tows,52,NP,>250,fibre,blue,2482.75,yes,,Unknown
HPPT3,Plankton tows,#40,NP,>250,fragment,blue,42.35,no,tiny**,
HPPT3,Plankton tows,#41,NP,>250,fragment,blue,73.81,no,tiny**,
HPPT3,Plankton tows,#42,NP,>250,fragment,blue,41.53,no,tiny**,
HPPT3,Plankton tows,#43,NP,>250,fragment,blue,32.34,no,tiny**,
HPPT3,Plankton tows,53,NP,>250,fragment,blue,102.81,yes,,
HPPT3,Plankton tows,#44,NP,>250,fragment,blue,69.65,no,tiny**,
HPPT3,Plankton tows,#45,NP,>250,fragment,blue,73.81,no,tiny**,
HPPT3,Plankton tows,54,NP,>250,fibre,yellow,1036.34,yes,,Nylon
HPPT3,Plankton tows,55,NP,>250,fibre,red,1442.37,yes,,Cellulose
HPPT3,Plankton tows,#46,NP,>250,fragment,blue,55.96,no,tiny**,
HPPT3,Plankton tows,#47,NP,>250,fragment,blue,34.25,no,tiny**,
HPPT4,Plankton tows,56,NP,>250,fibre,brown,1068.57,yes,,Dye
HPPT4,Plankton tows,57,NP,>250,fibre,red,370.65,yes,,Cellulose
HPPT4,Plankton tows,58,NP,>250,fibre,red,269.62,yes,,Cellulose
HPPT4,Plankton tows,59,NP,>250,fibre,orange,629.85,yes,,Cellulose
HPPT4,Plankton tows,#48,NP,>250,fibre,clear,210.23,no,dropped,
HPPT4,Plankton tows,60,NP,>250,fibre,yellow,2335.84,yes,,Cellulose
HPPT4,Plankton tows,#49,NP,>250,fragment,blue,41.84,no,tiny**,
HPPT4,Plankton tows,61,NP,>250,fibre,blue,1605.29,yes,,Unknown
HPPT4,Plankton tows,#50,NP,>250,fragment,blue,54.79,no,tiny**,
HPPT4,Plankton tows,#51,NP,>250,fragment,blue,26.42,no,tiny**,
HPPT4,Plankton tows,62,NP,>250,fibre,blue,784.78,yes,,Plastics Dye
HPPT4,Plankton tows,#52,NP,>250,fragment,blue,52.62,no,tiny**,
HPPT5,Plankton tows,63,NP,>250,fibre,green,1550.33,yes,Too much fluorescence for good Raman signature,Unknown
HPPT5,Plankton tows,64,NP,>250,fibre,blue,1312.02,yes,,Polypropylene
HPPT5,Plankton tows,65,NP,>250,fibre,clear,1429.6,yes,,Nylon
HPPT5,Plankton tows,66,NP,>250,fibre,clear,2083.34,yes,,Polyester
HPPT5,Plankton tows,#53,NP,>250,fragment,blue,23.14,no,tiny**,
HPPT5,Plankton tows,67,NP,>250,fibre,orange,2071.08,yes,,Cellulose
HPPT5,Plankton tows,68,NP,>250,fragment,blue,111.64,yes,,
HPPT5,Plankton tows,69,NP,>250,fibre ,blue,634.59,yes,,Polypropylene
HPPT5,Plankton tows,70,NP,>250,fragment,blue,181.26,yes,,
HPPT5,Plankton tows,71,NP,>250,fibre ,black,1442.76,yes,,Dye
CBPTPB1,Blanks,#54,NP,150-250,fragment,blue,43.25,no,tiny**,
CBPTPB1,Blanks,#55,NP,150-250,fragment,blue,91.85,no,tiny**,
CBPTPB1,Blanks,#56,NP,150-250,fibre,clear,825.12,no,dropped,
CBPTPB2,Blanks,#57,NP,150-250,fragment,blue,50.72,no,tiny**,
CBPTPB2,Blanks,#58,NP,150-250,fragment,blue,61.64,no,tiny**,
CBPTPB2,Blanks,#59,NP,150-250,fragment,blue,40.65,no,tiny**,
CBPTPB2,Blanks,#60,NP,150-250,fragment,blue,46.48,no,tiny**,
CBPTPB2,Blanks,#61,NP,150-250,fragment,blue,54.64,no,tiny**,
CBPTPB2,Blanks,#62,NP,150-250,fragment,blue,69.29,no,tiny**,
CBPTPB2,Blanks,#63,NP,150-250,fragment,blue,47.17,no,tiny**,
CBPTPB3,Blanks,#64,NP,150-250,fragment,blue,64.94,no,tiny**,
CBPTPB3,Blanks,#65,NP,150-250,fragment,blue,38.87,no,tiny**,
CBPTPB3,Blanks,#66,NP,150-250,fragment,blue,48.04,no,tiny**,
CBPTPB3,Blanks,#67,NP,150-250,fragment,blue,88.45,no,tiny**,
CBPTPB3,Blanks,72,NP,150-250,fibre,black,196.93,yes,,Cellulose
CBPTPB3,Blanks,#68,NP,150-250,fragment,blue,62.52,no,tiny**,
CBPTPB3,Blanks,#69,NP,150-250,fragment,blue,54.56,no,tiny**,
CBPTPB3,Blanks,#70,NP,150-250,fragment,blue,15.02,no,tiny**,
CBPTPB3,Blanks,#71,NP,150-250,fragment,blue,92.86,no,tiny**,
CBPT1,Plankton tows,73,NP,150-250,fragment,blue,189.86,yes,,
CBPT1,Plankton tows,74,NP,150-250,fibre,clear,421.58,yes,,Polypropylene
CBPT1,Plankton tows,#72,NP,150-250,fragment,blue,44.98,no,tiny**,
CBPT1,Plankton tows,75,NP,150-250,fragment,blue,363.83,yes,,
CBPT1,Plankton tows,76,NP,150-250,fibre,blue,547.19,yes,,Plastics Dye
CBPT2,Plankton tows,#73,NP,150-250,fragment,blue,29.37,no,tiny**,
CBPT2,Plankton tows,#74,NP,150-250,fragment,blue,56.43,no,tiny**,
CBPT2,Plankton tows,#75,NP,150-250,fragment,blue,25.87,no,tiny**,
CBPT2,Plankton tows,#76,NP,150-250,fragment,blue,55.06,no,tiny**,
CBPT2,Plankton tows,#77,NP,150-250,fragment,blue,32.81,no,tiny**,
CBPT2,Plankton tows,#78,NP,150-250,fragment,blue,24.6,no,tiny**,
CBPT2,Plankton tows,#79,NP,150-250,fragment,blue,30.02,no,tiny**,
CBPT2,Plankton tows,#80,NP,150-250,fragment,blue,57.79,no,tiny**,
CBPT2,Plankton tows,#81,NP,150-250,fragment,blue,34.11,no,tiny**,
CBPT2,Plankton tows,#82,NP,150-250,fragment,blue,86.63,no,tiny**,
CBPT2,Plankton tows,#83,NP,150-250,fragment,blue,36.58,no,tiny**,
CBPT2,Plankton tows,#84,NP,150-250,fragment,blue,64.34,no,tiny**,
CBPT2,Plankton tows,#85,NP,150-250,fragment,blue,32.09,no,tiny**,
CBPT2,Plankton tows,#86,NP,150-250,fragment,blue,53.11,no,tiny**,
CBPT2,Plankton tows,#87,NP,150-250,fragment,blue,94.09,no,tiny**,
CBPT2,Plankton tows,#88,NP,150-250,fragment,blue,29.1,no,tiny**,
CBPT2,Plankton tows,#89,NP,150-250,fragment,blue,20.66,no,tiny**,
CBPT2,Plankton tows,#90,NP,150-250,fragment,blue,58.84,no,tiny**,
CBPT2,Plankton tows,#91,NP,150-250,fragment,blue,34.38,no,tiny**,
CBPT2,Plankton tows,#92,NP,150-250,fragment,blue,51.44,no,tiny**,
CBPT2,Plankton tows,#93,NP,150-250,fragment,blue,34.82,no,tiny**,
CBPT2,Plankton tows,#94,NP,150-250,fragment,blue,56.72,no,tiny**,
CBPT2,Plankton tows,#95,NP,150-250,fragment,blue,53.18,no,tiny**,
CBPT2,Plankton tows,#96,NP,150-250,fragment,blue,28.74,no,tiny**,
CBPT2,Plankton tows,#97,NP,150-250,fragment,blue,16.74,no,tiny**,
CBPT2,Plankton tows,#98,NP,150-250,fragment,blue,81.69,no,tiny**,
CBPT3,Plankton tows,77,NP,150-250,fibre,clear,470.85,no,dropped,
CBPT3,Plankton tows,#99,NP,150-250,fragment,blue,25.69,no,tiny**,
CBPT3,Plankton tows,#100,NP,150-250,fragment,blue,27.6,no,tiny**,
CBPT3,Plankton tows,78,NP,150-250,fibre,orange,561.16,yes,,Polyester
CBPT3,Plankton tows,#101,NP,150-250,fragment,blue,39.45,no,tiny**,
CBPT4,Plankton tows,#102,NP,150-250,fragment,blue,37.79,no,tiny**,
CBPT4,Plankton tows,#103,NP,150-250,fragment,blue,23.92,no,tiny**,
CBPT4,Plankton tows,79,NP,150-250,fibre,blue,1454.82,yes,,Polyurethane
CBPT4,Plankton tows,#104,NP,150-250,fragment,blue,65.75,no,tiny**,
CBPT4,Plankton tows,#105,NP,150-250,fragment,blue,23.63,no,tiny**,
CBPT4,Plankton tows,81,NP,150-250,fibre,purple,780.23,yes,too much fluorescence to get a good Raman signature,Unknown
CBPT4,Plankton tows,82,NP,150-250,fibre,black,347.94,yes,,Cellulose
CBPT4,Plankton tows,#106,NP,150-250,fragment,blue,73.82,no,tiny**,
CBPT4,Plankton tows,#107,NP,150-250,fragment,blue,29.2,no,tiny**,
CBPT4,Plankton tows,#108,NP,150-250,fragment,blue,22.05,no,tiny**,
CBPT4,Plankton tows,#109,NP,150-250,fragment,blue,54.12,no,tiny**,
CBPT4,Plankton tows,83,NP,150-250,fibre,black,224.88,yes,,Dye
CBPT5,Plankton tows,#110,NP,150-250,fragment,blue,26.83,no,tiny**,
CBPT5,Plankton tows,#111,NP,150-250,fragment,blue,41.72,no,tiny**,
CBPT5,Plankton tows,84,NP,150-250,fibre,blue,392.59,yes,too much fluorescence to get a good Raman signature,Unknown
